"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"133","Clock Rate",0.01,3,0.990458029198824
"134","Generation",0.05,0.1,0.546975007207962
"135","Clock Rate",0.05,0.1,0.392619937854331
"136","Clock Rate",0.05,0.2,0.743109974816475
"137","Clock Rate",0.05,0.5,0.640953734313643
"138","Clock Rate",0.05,1,0.919540187108861
"139","Clock Rate",0.05,2,0.959168905830801
"140","Clock Rate",0.05,0.05,0.463213411227342
"141","Clock Rate",0.05,0.15,0.665771784018007
"142","Clock Rate",0.05,0.25,0.793952693590926
"143","Clock Rate",0.05,0.75,0.658046329224581
"144","Clock Rate",0.05,1.5,0.892025013183825
"145","Clock Rate",0.05,3,0.956644916555969
"146","Generation",0.05,0.2,0.521854095007777
"147","Clock Rate",0.05,0.1,0.392619937854331
"148","Clock Rate",0.05,0.2,0.743109974816475
"149","Clock Rate",0.05,0.5,0.640953734313643
"150","Clock Rate",0.05,1,0.919540187108861
"151","Clock Rate",0.05,2,0.959168905830801
"152","Clock Rate",0.05,0.05,0.463213411227342
"153","Clock Rate",0.05,0.15,0.665771784018007
"154","Clock Rate",0.05,0.25,0.793952693590926
"155","Clock Rate",0.05,0.75,0.658046329224581
"156","Clock Rate",0.05,1.5,0.892025013183825
"157","Clock Rate",0.05,3,0.956644916555969
"158","Generation",0.05,0.5,0.764231249356915
"159","Clock Rate",0.05,0.1,0.392619937854331
"160","Clock Rate",0.05,0.2,0.743109974816475
"161","Clock Rate",0.05,0.5,0.640953734313643
"162","Clock Rate",0.05,1,0.919540187108861
"163","Clock Rate",0.05,2,0.959168905830801
"164","Clock Rate",0.05,0.05,0.463213411227342
"165","Clock Rate",0.05,0.15,0.665771784018007
"166","Clock Rate",0.05,0.25,0.793952693590926
"167","Clock Rate",0.05,0.75,0.658046329224581
"168","Clock Rate",0.05,1.5,0.892025013183825
"169","Clock Rate",0.05,3,0.956644916555969
"170","Generation",0.05,1,0.663525978827415
"171","Clock Rate",0.05,0.1,0.392619937854331
"172","Clock Rate",0.05,0.2,0.743109974816475
"173","Clock Rate",0.05,0.5,0.640953734313643
"174","Clock Rate",0.05,1,0.919540187108861
"175","Clock Rate",0.05,2,0.959168905830801
"176","Clock Rate",0.05,0.05,0.463213411227342
"177","Clock Rate",0.05,0.15,0.665771784018007
"178","Clock Rate",0.05,0.25,0.793952693590926
"179","Clock Rate",0.05,0.75,0.658046329224581
"180","Clock Rate",0.05,1.5,0.892025013183825
"181","Clock Rate",0.05,3,0.956644916555969
"182","Generation",0.05,2,0.456621070370442
"183","Clock Rate",0.05,0.1,0.392619937854331
"184","Clock Rate",0.05,0.2,0.743109974816475
"185","Clock Rate",0.05,0.5,0.640953734313643
"186","Clock Rate",0.05,1,0.919540187108861
"187","Clock Rate",0.05,2,0.959168905830801
"188","Clock Rate",0.05,0.05,0.463213411227342
"189","Clock Rate",0.05,0.15,0.665771784018007
"190","Clock Rate",0.05,0.25,0.793952693590926
"191","Clock Rate",0.05,0.75,0.658046329224581
"192","Clock Rate",0.05,1.5,0.892025013183825
"193","Clock Rate",0.05,3,0.956644916555969
"194","Generation",0.05,0.05,0.252454774498446
"195","Clock Rate",0.05,0.1,0.392619937854331
"196","Clock Rate",0.05,0.2,0.743109974816475
"197","Clock Rate",0.05,0.5,0.640953734313643
"198","Clock Rate",0.05,1,0.919540187108861
"199","Clock Rate",0.05,2,0.959168905830801
"200","Clock Rate",0.05,0.05,0.463213411227342
"201","Clock Rate",0.05,0.15,0.665771784018007
