"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"389","Clock Rate",0.05,0.5,0.980131869004987
"390","Clock Rate",0.05,1,0.97194413353772
"391","Clock Rate",0.05,2,0.955990965976598
"392","Clock Rate",0.05,0.05,0.875879375619158
"393","Clock Rate",0.05,0.15,0.90864677937679
"394","Clock Rate",0.05,0.25,0.933040361836609
"395","Clock Rate",0.05,0.75,0.977680568447986
"396","Clock Rate",0.05,1.5,0.973967263158657
"397","Clock Rate",0.05,3,0.992983525886825
"398","Generation",0.1,0.1,0.695371729141717
"399","Generation",0.1,0.2,0.910639151205268
"400","Generation",0.1,0.5,0.916892511850423
"401","Generation",0.1,1,0.900356271434434
"402","Generation",0.1,2,0.939930608718096
"403","Generation",0.1,0.05,0.686985161467369
"404","Generation",0.1,0.15,0.802099174798817
"405","Generation",0.1,0.25,0.853745226778695
"406","Generation",0.1,0.75,0.841872109647976
"407","Generation",0.1,1.5,0.959390619502966
"408","Generation",0.1,3,0.962990686411041
"409","Clock Rate",0.1,0.1,0.833819160394409
"410","Clock Rate",0.1,0.2,0.79918480561304
"411","Clock Rate",0.1,0.5,0.979820407788456
"412","Clock Rate",0.1,1,0.975348545919016
"413","Clock Rate",0.1,2,0.96164387868252
"414","Clock Rate",0.1,0.05,0.867041318242261
"415","Clock Rate",0.1,0.15,0.921132483026799
"416","Clock Rate",0.1,0.25,0.942581907078333
"417","Clock Rate",0.1,0.75,0.978226009083664
"418","Clock Rate",0.1,1.5,0.970146658157817
"419","Clock Rate",0.1,3,0.994025366340345
"420","Generation",0.2,0.1,0.678520655883434
"421","Generation",0.2,0.2,0.902712392135611
"422","Generation",0.2,0.5,0.913894878783426
"423","Generation",0.2,1,0.900513468780332
"424","Generation",0.2,2,0.941609798695033
"425","Generation",0.2,0.05,0.698908058299569
"426","Generation",0.2,0.15,0.800917160530881
"427","Generation",0.2,0.25,0.842005299595237
"428","Generation",0.2,0.75,0.83932748179645
"429","Generation",0.2,1.5,0.955303454705404
"430","Generation",0.2,3,0.968542054850409
"431","Clock Rate",0.2,0.1,0.833717485878336
"432","Clock Rate",0.2,0.2,0.791438848360863
"433","Clock Rate",0.2,0.5,0.980241201145629
"434","Clock Rate",0.2,1,0.974597683318945
"435","Clock Rate",0.2,2,0.958801181957623
"436","Clock Rate",0.2,0.05,0.85241021978821
"437","Clock Rate",0.2,0.15,0.911596365594068
"438","Clock Rate",0.2,0.25,0.945388655986495
"439","Clock Rate",0.2,0.75,0.97822531430077
"440","Clock Rate",0.2,1.5,0.97246070264778
"441","Clock Rate",0.2,3,0.994057272903399
"442","Generation",0.01,0.1,0.050846995242402
"443","Generation",0.01,0.2,0.076698982334905
"444","Generation",0.01,0.5,0.192218931722796
"445","Generation",0.01,1,0.926266221249885
"446","Generation",0.01,2,0.679289866718678
"447","Generation",0.01,0.05,0.0266383864865957
"448","Generation",0.01,0.15,0.21540581548988
"449","Generation",0.01,0.25,0.183767776726716
"450","Generation",0.01,0.75,0.206281885052524
"451","Generation",0.01,1.5,0.850545690944729
"452","Generation",0.01,3,0.82412664928258
"453","Clock Rate",0.01,0.1,0.677733902815977
"454","Clock Rate",0.01,0.2,0.630107779022463
"455","Clock Rate",0.01,0.5,0.356147742968026
"456","Clock Rate",0.01,1,0.660433296381202
"457","Clock Rate",0.01,2,0.791824949947023
"458","Clock Rate",0.01,0.05,NA
"459","Clock Rate",0.01,0.15,0.742979528087361
"460","Clock Rate",0.01,0.25,0.490822085837699
"461","Clock Rate",0.01,0.75,0.66271157708491
"462","Clock Rate",0.01,1.5,0.723079315892727
"463","Clock Rate",0.01,3,0.977191585375108
"464","Generation",0.05,0.1,0.259130388436692
"465","Generation",0.05,0.2,0.532308309416726
"466","Generation",0.05,0.5,0.511789806167202
"467","Generation",0.05,1,0.467606904312957
"468","Generation",0.05,2,0.703745683572717
"469","Generation",0.05,0.05,0.0311219058840008
"470","Generation",0.05,0.15,0.326251691845521
