"","Tip1","Tip2","TimeDiff","gens","snpsPerGen","snpDist"
"302","39043_2190.17771623257","36777_2103.7232006158",182.064356438,12,0.0833333333333333,1
"303","39043_2190.17771623257","36771_2103.7232006158",227.2798326316,12,0.166666666666667,2
"304","39043_2190.17771623257","35758_2065.00399875399",297.0635383078,16,0.1875,3
"305","39043_2190.17771623257","38690_2177.19693200358",466.8707280298,17,0.294117647058824,5
"306","39043_2190.17771623257","39942_2223.39305481869",513.0668508449,16,0.4375,7
"307","39043_2190.17771623257","38303_2162.21955182523",451.8933478513,14,0.285714285714285,4
"308","39043_2190.17771623257","38302_2162.21955182523",451.8933478513,21,0.19047619047619,4
"309","39043_2190.17771623257","47524_2484.98526624003",774.6590622661,33,0.242424242424243,8
"310","39043_2190.17771623257","47994_2501.7550794017",791.4288754278,22,0.409090909090909,9
"311","39043_2190.17771623257","47521_2484.98526624003",774.6590622662,25,0.28,7
"312","39043_2190.17771623257","47522_2484.98526624003",774.6590622662,28,0.25,7
"313","39043_2190.17771623257","49001_2537.32417839124",826.9979744174,29,0.241379310344827,7
"314","39043_2190.17771623257","47671_2490.49549799586",780.169294022,42,0.166666666666667,7
"315","39043_2190.17771623257","48138_2507.51112716475",797.1849231909,31,0.225806451612903,7
